NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
THRAP3	1	ENSG00000054118	
TUB	1	ENSG00000166402	
NME5	1	ENSG00000112981	
PABIR3	1	ENSG00000156500	
RUSC1	1	ENSG00000160753	
LCMT1	1	ENSG00000205629	
RHBDF1	1	ENSG00000007384	
TTC19	1	ENSG00000011295	
KDM5A	1	ENSG00000073614	
SPRYD7	1	ENSG00000123178	
ATP5F1B	1	ENSG00000110955	
SLC25A35	1	ENSG00000125434	
RFNG	1	ENSG00000169733	
SLC35D1	1	ENSG00000116704	
TPT1	1	ENSG00000133112	
MTFR1L	1	ENSG00000117640	
N4BP3	1	ENSG00000145911	
PYGB	1	ENSG00000100994	
USF3	1	ENSG00000176542	
SYNE4	1	ENSG00000181392	
PCMT1	1	ENSG00000120265	
ITPA	1	ENSG00000125877	
SAE1	1	ENSG00000142230	
RPL3	1	ENSG00000100316	
MLXIP	1	ENSG00000175727	
SMG5	1	ENSG00000198952	
SRFBP1	1	ENSG00000151304	
SEC61A1	1	ENSG00000058262	
NPM1P39	1	ENSG00000225159	
ZC3HAV1	1	ENSG00000105939	
DSG2	1	ENSG00000046604	
ARHGEF11	1	ENSG00000132694	
HDAC11	1	ENSG00000163517	
COPS6	1	ENSG00000168090	
CNOT7	1	ENSG00000198791	
SCD5	1	ENSG00000145284	
UBXN11	1	ENSG00000158062	
TCF25	1	ENSG00000141002	
STEAP2	1	ENSG00000157214	
RPL14P1	1	ENSG00000139239	
DNAJC11	1	ENSG00000007923	
MORN3	1	ENSG00000139714	
EFL1	1	ENSG00000140598	
ZNF682	1	ENSG00000197124	
HAPSTR1	1	ENSG00000182831	
KIF1C	1	ENSG00000129250	
GCGR	1	ENSG00000215644	
MRPS22	1	ENSG00000175110	
TNPO1	1	ENSG00000083312	
IKBKB	1	ENSG00000104365	
ARL8A	1	ENSG00000143862	
CCDC93	1	ENSG00000125633	
FLCN	1	ENSG00000154803	
DLG1	1	ENSG00000075711	
PSMB6	1	ENSG00000142507	
MAX	1	ENSG00000125952	
PEG3	1	ENSG00000198300	
USP8	1	ENSG00000138592	
RAB5B	1	ENSG00000111540	
TRPM7	1	ENSG00000092439	
PSMC2	1	ENSG00000161057	
DNAJB2	1	ENSG00000135924	
POMGNT1	1	ENSG00000085998	
RPL5	1	ENSG00000122406	
COX6A1P2	1	ENSG00000226976	
PIH1D1	1	ENSG00000104872	
PSME3	1	ENSG00000131467	
KIAA0586	1	ENSG00000100578	
ANAPC2	1	ENSG00000176248	
TBC1D19	1	ENSG00000109680	
TTF1	1	ENSG00000125482	
STK24	1	ENSG00000102572	
ZDHHC21	1	ENSG00000175893	
PIK3C3	1	ENSG00000078142	
MTMR11	1	ENSG00000014914	
ALG6	1	ENSG00000088035	
NUBP1	1	ENSG00000103274	
POLL	1	ENSG00000166169	
NIT2	1	ENSG00000114021	
HCP5	1	ENSG00000206337	
SMARCE1	1	ENSG00000073584	
ITFG1	1	ENSG00000129636	
PARP12	1	ENSG00000059378	
DAAM1	1	ENSG00000100592	
KIAA1671	1	ENSG00000197077	
CNOT6	1	ENSG00000113300	
YWHAB	1	ENSG00000166913	
GRAMD4	1	ENSG00000075240	
CALR	1	ENSG00000179218	
GNS	1	ENSG00000135677	
USP20	1	ENSG00000136878	
PFDN1	1	ENSG00000113068	
PTDSS2	1	ENSG00000174915	
MRPL41	1	ENSG00000182154	
ZNF35	1	ENSG00000169981	
AK6	1	ENSG00000085231	
MOSPD1	1	ENSG00000101928	
PBDC1	1	ENSG00000102390	
KIF3A	1	ENSG00000131437	
LRRC37B	1	ENSG00000185158	
ZNF566	1	ENSG00000186017	
MED25	1	ENSG00000104973	
SP3	1	ENSG00000172845	
GSKIP	1	ENSG00000100744	
KIFC2	1	ENSG00000167702	
SMO	1	ENSG00000128602	
FICD	1	ENSG00000198855	
USP5	1	ENSG00000111667	
FCF1	1	ENSG00000119616	
RAD23B	1	ENSG00000119318	
RGS11	1	ENSG00000076344	
MRPL14	1	ENSG00000180992	
PSMA5	1	ENSG00000143106	
MKNK1	1	ENSG00000079277	
SHOC2	1	ENSG00000108061	
TFCP2	1	ENSG00000135457	
CLCN5	1	ENSG00000171365	
UBE2I	1	ENSG00000103275	
TTC21A	1	ENSG00000168026	
ATOSA	1	ENSG00000047346	
DYNLL1	1	ENSG00000088986	
COPS7B	1	ENSG00000144524	
TRAK1	1	ENSG00000182606	
TM9SF3	1	ENSG00000077147	
SMYD5	1	ENSG00000135632	
TMEM140	1	ENSG00000146859	
ORMDL3	1	ENSG00000172057	
TMEM50B	1	ENSG00000142188	
FBXW11	1	ENSG00000072803	
AGPAT2	1	ENSG00000169692	
CXXC5	1	ENSG00000171604	
CMTR2	1	ENSG00000180917	
WDR75	1	ENSG00000115368	
VRK1	1	ENSG00000100749	
NGDN	1	ENSG00000129460	
MTRES1	1	ENSG00000130349	
MAST3	1	ENSG00000099308	
IQANK1	1	ENSG00000203499	
GORASP1	1	ENSG00000114745	
ZNF232	1	ENSG00000167840	
NMD3P1	1	ENSG00000226342	
MDK	1	ENSG00000110492	
FAM104B	1	ENSG00000182518	
RCC2	1	ENSG00000179051	
LRFN3	1	ENSG00000126243	
HARS2	1	ENSG00000112855	
DERL1	1	ENSG00000136986	
THOC1	1	ENSG00000079134	
RHBDD2	1	ENSG00000005486	
PMVK	1	ENSG00000163344	
PDCD10	1	ENSG00000114209	
GPATCH11	1	ENSG00000152133	
TARS2	1	ENSG00000143374	
TCF12	1	ENSG00000140262	
UNG	1	ENSG00000076248	
STK25	1	ENSG00000115694	
LARP7	1	ENSG00000174720	
WDTC1	1	ENSG00000142784	
BAG6	1	ENSG00000204463	
KIF22	1	ENSG00000079616	
NSUN2	1	ENSG00000037474	
TATDN1P1	1	ENSG00000234369	
GNG5	1	ENSG00000174021	
RPL6	1	ENSG00000089009	
POP4	1	ENSG00000105171	
VCPIP1	1	ENSG00000175073	
CETN2	1	ENSG00000147400	
ACP1	1	ENSG00000143727	
METTL16	1	ENSG00000127804	
PLEKHM2	1	ENSG00000116786	
KHNYN	1	ENSG00000100441	
PPM1J	1	ENSG00000155367	
ADAM15	1	ENSG00000143537	
SURF6	1	ENSG00000148296	
KIF1B	1	ENSG00000054523	
HEXB	1	ENSG00000049860	
NADK	1	ENSG00000008130	
FBXW7	1	ENSG00000109670	
STAG3L4	1	ENSG00000106610	
SAV1	1	ENSG00000151748	
ZFAND3	1	ENSG00000156639	
REX1BD	1	ENSG00000006015	
MCF2L	1	ENSG00000126217	
INPP5E	1	ENSG00000148384	
SEPTIN6	1	ENSG00000125354	
AGTRAP	1	ENSG00000177674	
FAM149B1	1	ENSG00000138286	
TBC1D23	1	ENSG00000036054	
NAGK	1	ENSG00000124357	
AP2A1	1	ENSG00000196961	
MAFG	1	ENSG00000197063	
ARAF	1	ENSG00000078061	
SDF2L1	1	ENSG00000128228	
ZNF345	1	ENSG00000251247	
IRF7	1	ENSG00000185507	
MAP1LC3B	1	ENSG00000140941	
TENT4A	1	ENSG00000112941	
SMARCC1	1	ENSG00000173473	
STRIP1	1	ENSG00000143093	
TNRC6A	1	ENSG00000090905	
RAB4B	1	ENSG00000167578	
BRD3	1	ENSG00000169925	
RNF167	1	ENSG00000108523	
FBXO45	1	ENSG00000174013	
PHF7	1	ENSG00000010318	
G3BP2	1	ENSG00000138757	
CPTP	1	ENSG00000224051	
YWHAE	1	ENSG00000108953	
RTCB	1	ENSG00000100220	
NDUFA9	1	ENSG00000139180	
SOD1	1	ENSG00000142168	
LINC00957	1	ENSG00000235314	
RIPK1	1	ENSG00000137275	
TBL3	1	ENSG00000183751	
PBXIP1	1	ENSG00000163346	
ZC3H12A-DT	1	ENSG00000233621	
CBX8	1	ENSG00000141570	
EXOSC2	1	ENSG00000130713	
SLC35D2	1	ENSG00000130958	
BRD1	1	ENSG00000100425	
CEP20	1	ENSG00000133393	
DENND4B	1	ENSG00000198837	
TP53	1	ENSG00000141510	
RNF181	1	ENSG00000168894	
ARMCX6	1	ENSG00000198960	
SNAP23	1	ENSG00000092531	
EXTL3	1	ENSG00000012232	
MED8	1	ENSG00000159479	
SRRM1	1	ENSG00000133226	
MAPK1IP1L	1	ENSG00000168175	
ZNF692	1	ENSG00000171163	
ZNF182	1	ENSG00000147118	
TP53INP2	1	ENSG00000078804	
PIK3R3	1	ENSG00000117461	
XRN2	1	ENSG00000088930	
CYB5B	1	ENSG00000103018	
ZNF404	1	ENSG00000176222	
MLST8	1	ENSG00000167965	
TMEM19	1	ENSG00000139291	
UBA6	1	ENSG00000033178	
TRIM11	1	ENSG00000154370	
GTPBP6	1	ENSG00000178605	
PSMB8	1	ENSG00000204264	
LRBA	1	ENSG00000198589	
ZNF641	1	ENSG00000167528	
WDR81	1	ENSG00000167716	
C17orf75	1	ENSG00000108666	
RBBP4P2	1	ENSG00000242457	
NUP188	1	ENSG00000095319	
UBIAD1	1	ENSG00000120942	
NRBP2	1	ENSG00000185189	
EMC3	1	ENSG00000125037	
HNRNPH2	1	ENSG00000126945	
ISOC1	1	ENSG00000066583	
CBX6	1	ENSG00000183741	
BLTP2	1	ENSG00000007202	
ZNF135	1	ENSG00000176293	
ASH1L	1	ENSG00000116539	
RPRD1A	1	ENSG00000141425	
LRRC20	1	ENSG00000172731	
CCNO	1	ENSG00000152669	
TRABD	1	ENSG00000170638	
WNK3	1	ENSG00000196632	
CDC42P6	1	ENSG00000237350	
RNF215	1	ENSG00000099999	
UBAP2	1	ENSG00000137073	
BCCIP	1	ENSG00000107949	
LIFR	1	ENSG00000113594	
SLC39A1	1	ENSG00000143570	
SLC35B2	1	ENSG00000157593	
LEMD2	1	ENSG00000161904	
PCBP1-AS1	1	ENSG00000179818	
SLBP	1	ENSG00000163950	
PILRB	1	ENSG00000121716	
PHACTR4	1	ENSG00000204138	
GRWD1	1	ENSG00000105447	
VPS13A	1	ENSG00000197969	
GFM1	1	ENSG00000168827	
MAPK1	1	ENSG00000100030	
UQCC2	1	ENSG00000137288	
GNAL	1	ENSG00000141404	
FHIP2B	1	ENSG00000158863	
GABARAPL3	1	ENSG00000238244	
MECR	1	ENSG00000116353	
USP10	1	ENSG00000103194	
ZFYVE26	1	ENSG00000072121	
PFKL	1	ENSG00000141959	
TXLNG	1	ENSG00000086712	
KHDC4	1	ENSG00000132680	
RPS14	1	ENSG00000164587	
ADGRL1	1	ENSG00000072071	
ENOSF1	1	ENSG00000132199	
SLC25A17	1	ENSG00000100372	
WDR90	1	ENSG00000161996	
KATNB1	1	ENSG00000140854	
REEP3	1	ENSG00000165476	
REPIN1	1	ENSG00000214022	
PABIR2	1	ENSG00000156504	
IFT80	1	ENSG00000068885	
UBE2A	1	ENSG00000077721	
POLR2A	1	ENSG00000181222	
FBXL18	1	ENSG00000155034	
MKLN1	1	ENSG00000128585	
MRPS27	1	ENSG00000113048	
CIAO3	1	ENSG00000103245	
WNT9A	1	ENSG00000143816	
BTN3A3	1	ENSG00000111801	
ZNF790	1	ENSG00000197863	
AIFM1	1	ENSG00000156709	
INTU	1	ENSG00000164066	
MEX3C	1	ENSG00000176624	
ISG20L2	1	ENSG00000143319	
TMED5	1	ENSG00000117500	
EIF3FP3	1	ENSG00000233426	
EIF5	1	ENSG00000100664	
ANKRD40	1	ENSG00000154945	
PGD	1	ENSG00000142657	
UBTF	1	ENSG00000108312	
PRPF38B	1	ENSG00000134186	
EFCAB2	1	ENSG00000203666	
COQ10A	1	ENSG00000135469	
C1orf35	1	ENSG00000143793	
RPS6KA3	1	ENSG00000177189	
DRG1	1	ENSG00000185721	
EMSLR	1	ENSG00000232445	
METTL14	1	ENSG00000145388	
ABHD12	1	ENSG00000100997	
FEM1A	1	ENSG00000141965	
PRRC2A	1	ENSG00000204469	
MTMR4	1	ENSG00000108389	
CXXC1	1	ENSG00000154832	
KCTD11	1	ENSG00000213859	
SRPK2	1	ENSG00000135250	
IRF2	1	ENSG00000168310	
HNRNPH3	1	ENSG00000096746	
SRP68	1	ENSG00000167881	
HAT1	1	ENSG00000128708	
SLC12A9	1	ENSG00000146828	
PEX13	1	ENSG00000162928	
VRK3	1	ENSG00000105053	
CDK9	1	ENSG00000136807	
KRBOX4	1	ENSG00000147121	
SNRNP40	1	ENSG00000060688	
SLC25A11	1	ENSG00000108528	
EXOC8	1	ENSG00000116903	
CPQ	1	ENSG00000104324	
INHBB	1	ENSG00000163083	
TCERG1	1	ENSG00000113649	
MAPK9	1	ENSG00000050748	
VPS39	1	ENSG00000166887	
S100A13	1	ENSG00000189171	
TMEM161B-DT	1	ENSG00000247828	
ABTB1	1	ENSG00000114626	
ATG16L1	1	ENSG00000085978	
TEAD3	1	ENSG00000007866	
LINC00665	1	ENSG00000232677	
ZNG1B	1	ENSG00000136682	
PLEKHA2	1	ENSG00000169499	
KPNA1	1	ENSG00000114030	
CUL4B	1	ENSG00000158290	
OPHN1	1	ENSG00000079482	
USP32	1	ENSG00000170832	
MINDY1	1	ENSG00000143409	
CEBPZ	1	ENSG00000115816	
PLEKHA3	1	ENSG00000116095	
MRPL20	1	ENSG00000242485	
TMEM120A	1	ENSG00000189077	
MICU3	1	ENSG00000155970	
TLK2	1	ENSG00000146872	
PTTG1IP	1	ENSG00000183255	
SMUG1	1	ENSG00000123415	
ILRUN	1	ENSG00000196821	
LTBP4	1	ENSG00000090006	
CERS2	1	ENSG00000143418	
OXSR1	1	ENSG00000172939	
MAPRE1	1	ENSG00000101367	
MTA1	1	ENSG00000182979	
ATP5F1A	1	ENSG00000152234	
PHF20L1	1	ENSG00000129292	
PRXL2B	1	ENSG00000157870	
EIF2S2	1	ENSG00000125977	
C1orf174	1	ENSG00000198912	
FBXO44	1	ENSG00000132879	
TBCD	1	ENSG00000141556	
SUB1P1	1	ENSG00000227203	
PTP4A2P2	1	ENSG00000254481	
RAB2B	1	ENSG00000129472	
TMEM79	1	ENSG00000163472	
TMEM248	1	ENSG00000106609	
HNRNPKP1	1	ENSG00000250859	
PI4K2B	1	ENSG00000038210	
TOLLIP	1	ENSG00000078902	
CLIP1	1	ENSG00000130779	
ANAPC4	1	ENSG00000053900	
KRBOX5	1	ENSG00000197302	
MT-ND5	1	ENSG00000198786	
TAF9B	1	ENSG00000187325	
DUSP8P5	1	ENSG00000235316	
RGL3	1	ENSG00000205517	
TYW3	1	ENSG00000162623	
MRM2	1	ENSG00000122687	
PIAS4	1	ENSG00000105229	
RNF5	1	ENSG00000204308	
RXRB	1	ENSG00000204231	
RPL13AP5	1	ENSG00000236552	
PTPN11	1	ENSG00000179295	
NAP1L1P1	1	ENSG00000254759	
ZFP3	1	ENSG00000180787	
NDUFS7	1	ENSG00000115286	
ATL2	1	ENSG00000119787	
FTO	1	ENSG00000140718	
ZFAND6	1	ENSG00000086666	
POM121	1	ENSG00000196313	
ARRDC1	1	ENSG00000197070	
ATG4B	1	ENSG00000168397	
IFT57	1	ENSG00000114446	
MLYCD	1	ENSG00000103150	
RNF135	1	ENSG00000181481	
CDC27	1	ENSG00000004897	
MAST2	1	ENSG00000086015	
CRACR2B	1	ENSG00000177685	
SNX7	1	ENSG00000162627	
FBXO38	1	ENSG00000145868	
UBAC1	1	ENSG00000130560	
SF3A3P2	1	ENSG00000254449	
ABCA2	1	ENSG00000107331	
POLR1HASP	1	ENSG00000204623	
SOCS2	1	ENSG00000120833	
GEMIN7	1	ENSG00000142252	
SLC35C2	1	ENSG00000080189	
ATP11B	1	ENSG00000058063	
GOLGA2	1	ENSG00000167110	
HLA-DRB5	1	ENSG00000198502	
YLPM1	1	ENSG00000119596	
RALBP1P2	1	ENSG00000238029	
CTNNA1	1	ENSG00000044115	
MLH1	1	ENSG00000076242	
PPIL4	1	ENSG00000131013	
CRTC2	1	ENSG00000160741	
ASTE1	1	ENSG00000034533	
PAIP1P2	1	ENSG00000174977	
ZC3H7B	1	ENSG00000100403	
RPP25L	1	ENSG00000164967	
CEMIP2	1	ENSG00000135048	
HADHAP1	1	ENSG00000251596	
RPL36AP37	1	ENSG00000244398	
CNBP	1	ENSG00000169714	
ZBTB18	1	ENSG00000179456	
RPS24P19	1	ENSG00000227008	
CDC42	1	ENSG00000070831	
EIF2B5	1	ENSG00000145191	
NELFA	1	ENSG00000185049	
RABGAP1	1	ENSG00000011454	
LAMB2	1	ENSG00000172037	
ZNF18	1	ENSG00000154957	
COG4	1	ENSG00000103051	
PDE8A	1	ENSG00000073417	
POLR3B	1	ENSG00000013503	
WIPF1	1	ENSG00000115935	
ZNF691	1	ENSG00000164011	
SECISBP2L	1	ENSG00000138593	
CERS5	1	ENSG00000139624	
RPAP1	1	ENSG00000103932	
COG8	1	ENSG00000213380	
ZNF121	1	ENSG00000197961	
CCDC149	1	ENSG00000181982	
RTRAF	1	ENSG00000087302	
ANKFY1	1	ENSG00000185722	
TTC1	1	ENSG00000113312	
PRPF3	1	ENSG00000117360	
ZNF616	1	ENSG00000204611	
OARD1	1	ENSG00000124596	
RNF216P1	1	ENSG00000196204	
STX4	1	ENSG00000103496	
DHRS7B	1	ENSG00000109016	
NRN1	1	ENSG00000124785	
TEX10	1	ENSG00000136891	
RASD1	1	ENSG00000108551	
CIC	1	ENSG00000079432	
ATP6V1E1	1	ENSG00000131100	
PRKAB1	1	ENSG00000111725	
AKIRIN2	1	ENSG00000135334	
JUN	1	ENSG00000177606	
PAIP2	1	ENSG00000120727	
ZNF266	1	ENSG00000174652	
FOXN3	1	ENSG00000053254	
GABARAPL1	1	ENSG00000139112	
YPEL5	1	ENSG00000119801	
PPP4R2	1	ENSG00000163605	
BLNK	1	ENSG00000095585	
NUDT14	1	ENSG00000183828	
GPR135	1	ENSG00000181619	
AFG3L2P1	1	ENSG00000253606	
DENND10P1	1	ENSG00000221930	
ZXDB	1	ENSG00000198455	
RHOV	1	ENSG00000104140	
PRPF4	1	ENSG00000136875	
TRIP10	1	ENSG00000125733	
NUDC	1	ENSG00000090273	
PLEKHG5	1	ENSG00000171680	
TIPRL	1	ENSG00000143155	
ZBTB26	1	ENSG00000171448	
PQBP1	1	ENSG00000102103	
ASB13	1	ENSG00000196372	
RHPN1	1	ENSG00000158106	
LBH	1	ENSG00000213626	
POU6F1	1	ENSG00000184271	
AIDA	1	ENSG00000186063	
SYT9	1	ENSG00000170743	
NOXA1	1	ENSG00000188747	
EPS8L2	1	ENSG00000177106	
EIF3A	1	ENSG00000107581	
ADO	1	ENSG00000181915	
CCDC159	1	ENSG00000183401	
PRKAA2	1	ENSG00000162409	
RPS18P5	1	ENSG00000242299	
ZNF280C	1	ENSG00000056277	
C12orf4	1	ENSG00000047621	
EFHC1	1	ENSG00000096093	
ATPSCKMT	1	ENSG00000150756	
DYNLRB1	1	ENSG00000125971	
RAPH1	1	ENSG00000173166	
DTD2	1	ENSG00000129480	
ZBTB7B	1	ENSG00000160685	
USP42	1	ENSG00000106346	
TEX264	1	ENSG00000164081	
MCUR1	1	ENSG00000050393	
ARPIN	1	ENSG00000242498	
SKP1	1	ENSG00000113558	
NISCH	1	ENSG00000010322	
ENSG00000176593	1	ENSG00000176593	
CDV3	1	ENSG00000091527	
BMPR1AP1	1	ENSG00000219642	
NIPBL	1	ENSG00000164190	
PIGL	1	ENSG00000108474	
MANEA	1	ENSG00000172469	
EEF2	1	ENSG00000167658	
SLFN12	1	ENSG00000172123	
RPS6KB1	1	ENSG00000108443	
C19orf48P	1	ENSG00000167747	
GOLM2P1	1	ENSG00000238132	
MTMR9LP	1	ENSG00000220785	
CACYBP	1	ENSG00000116161	
ARHGEF34P	1	ENSG00000204959	
SDAD1P1	1	ENSG00000228451	
TNFRSF11A	1	ENSG00000141655	
EVI5	1	ENSG00000067208	
EXOSC9	1	ENSG00000123737	
TMEM9	1	ENSG00000116857	
ERCC3	1	ENSG00000163161	
RFK	1	ENSG00000135002	
PREPL	1	ENSG00000138078	
NSL1	1	ENSG00000117697	
PABPN1	1	ENSG00000100836	
MATR3P2	1	ENSG00000242140	
ITIH5	1	ENSG00000123243	
XPOT	1	ENSG00000184575	
HDAC3	1	ENSG00000171720	
DPM2	1	ENSG00000136908	
ATP6V0A1	1	ENSG00000033627	
KCNC4	1	ENSG00000116396	
NARF	1	ENSG00000141562	
TST	1	ENSG00000128311	
C7orf50	1	ENSG00000146540	
RMDN3	1	ENSG00000137824	
RAD51D	1	ENSG00000185379	
TOR1A	1	ENSG00000136827	
BMT2	1	ENSG00000164603	
DTX2	1	ENSG00000091073	
GIGYF1	1	ENSG00000146830	
SNRNP70	1	ENSG00000104852	
ARHGAP26	1	ENSG00000145819	
TMEM39B	1	ENSG00000121775	
P4HTM	1	ENSG00000178467	
WDR46	1	ENSG00000227057	
RAB9B	1	ENSG00000123570	
SMG7-AS1	1	ENSG00000232860	
SNX4	1	ENSG00000114520	
TTC23	1	ENSG00000103852	
WRAP73	1	ENSG00000116213	
TRIM2	1	ENSG00000109654	
ATXN1L	1	ENSG00000224470	
EPN3	1	ENSG00000049283	
COG7	1	ENSG00000168434	
FAM104A	1	ENSG00000133193	
WASH7P	1	ENSG00000227232	
RAB4A	1	ENSG00000168118	
GON4L	1	ENSG00000116580	
ADD1	1	ENSG00000087274	
ACHE	1	ENSG00000087085	
KBTBD11	1	ENSG00000176595	
GPR155	1	ENSG00000163328	
SPG7	1	ENSG00000197912	
MRPL36	1	ENSG00000171421	
SLC4A1APP1	1	ENSG00000232060	
RPS3AP6	1	ENSG00000234797	
TJP2	1	ENSG00000119139	
AFF1	1	ENSG00000172493	
EEFSEC	1	ENSG00000132394	
RAD23BP1	1	ENSG00000236570	
ESF1	1	ENSG00000089048	
MFN1	1	ENSG00000171109	
RBMS1P1	1	ENSG00000225422	
SETD1B	1	ENSG00000139718	
FBXO21	1	ENSG00000135108	
TMEM70	1	ENSG00000175606	
GATD1	1	ENSG00000177225	
HK2P1	1	ENSG00000228612	
GOT2	1	ENSG00000125166	
HDAC2	1	ENSG00000196591	
PTPN21	1	ENSG00000070778	
PSMA6P1	1	ENSG00000215414	
SIGIRR	1	ENSG00000185187	
CCDC167	1	ENSG00000198937	
RPL41	1	ENSG00000229117	
NRTN	1	ENSG00000171119	
MAGT1	1	ENSG00000102158	
RNASEH2B	1	ENSG00000136104	
GMCL1	1	ENSG00000087338	
TCTN1	1	ENSG00000204852	
GSK3A	1	ENSG00000105723	
ZSCAN18	1	ENSG00000121413	
YIPF3	1	ENSG00000137207	
CDK13	1	ENSG00000065883	
RAB22A	1	ENSG00000124209	
RBM17	1	ENSG00000134453	
DTWD1	1	ENSG00000104047	
ARFRP1	1	ENSG00000101246	
HIVEP2	1	ENSG00000010818	
TPM3P8	1	ENSG00000183022	
MST1	1	ENSG00000173531	
TONSL	1	ENSG00000160949	
GNB2	1	ENSG00000172354	
LONP1	1	ENSG00000196365	
NME4	1	ENSG00000103202	
VKORC1	1	ENSG00000167397	
LITAF	1	ENSG00000189067	
PMPCA	1	ENSG00000165688	
SLC22A18	1	ENSG00000110628	
DDX56	1	ENSG00000136271	
ZC3H15	1	ENSG00000065548	
TSC22D4	1	ENSG00000166925	
PARN	1	ENSG00000140694	
MAN2A2	1	ENSG00000196547	
KLF9	1	ENSG00000119138	
ZNF827	1	ENSG00000151612	
BORCS5	1	ENSG00000165714	
HIGD1A	1	ENSG00000181061	
ZNF528	1	ENSG00000167555	
RWDD3	1	ENSG00000122481	
DMTF1	1	ENSG00000135164	
EIF2AK3	1	ENSG00000172071	
MRPL39	1	ENSG00000154719	
RPL29	1	ENSG00000162244	
GOLGA7	1	ENSG00000147533	
PUS10	1	ENSG00000162927	
DMAP1	1	ENSG00000178028	
INO80E	1	ENSG00000169592	
ZC3H3	1	ENSG00000014164	
KIF21B	1	ENSG00000116852	
RNF20	1	ENSG00000155827	
GRHPR	1	ENSG00000137106	
PMPCB	1	ENSG00000105819	
TSPYL1	1	ENSG00000189241	
STAG3L3	1	ENSG00000174353	
CLHC1	1	ENSG00000162994	
URM1	1	ENSG00000167118	
PDPN	1	ENSG00000162493	
ESRP2	1	ENSG00000103067	
RPL18	1	ENSG00000063177	
KLHL2	1	ENSG00000109466	
BIVM	1	ENSG00000134897	
DCAF12	1	ENSG00000198876	
WAC-AS1	1	ENSG00000254635	
BAZ1A	1	ENSG00000198604	
ITFG2	1	ENSG00000111203	
IP6K1	1	ENSG00000176095	
UBA52	1	ENSG00000221983	
AHCYL1	1	ENSG00000168710	
PPP1R7	1	ENSG00000115685	
FANCG	1	ENSG00000221829	
PCNA	1	ENSG00000132646	
LRRC41	1	ENSG00000132128	
CBR1	1	ENSG00000159228	
TRPM4	1	ENSG00000130529	
CTC1	1	ENSG00000178971	
TREX1	1	ENSG00000213689	
NKIRAS1	1	ENSG00000197885	
E4F1	1	ENSG00000167967	
DDR1	1	ENSG00000204580	
GMCL2	1	ENSG00000244234	
TOMM7	1	ENSG00000196683	
CDK18	1	ENSG00000117266	
MCM3	1	ENSG00000112118	
ERGIC2	1	ENSG00000087502	
DPP9	1	ENSG00000142002	
TMEM63B	1	ENSG00000137216	
THAP6	1	ENSG00000174796	
SFT2D1	1	ENSG00000198818	
PSMB5	1	ENSG00000100804	
PGM2	1	ENSG00000169299	
ZNF483	1	ENSG00000173258	
TIMM23B	1	ENSG00000204152	
LAMTOR5	1	ENSG00000134248	
NDC1	1	ENSG00000058804	
DOCK7	1	ENSG00000116641	
PI4KAP2	1	ENSG00000183506	
BEGAIN	1	ENSG00000183092	
BSG	1	ENSG00000172270	
C9orf85	1	ENSG00000155621	
CCDC137	1	ENSG00000185298	
DBI	1	ENSG00000155368	
ARPC3P3	1	ENSG00000256745	
LLGL2	1	ENSG00000073350	
TMEM62	1	ENSG00000137842	
RRP1	1	ENSG00000160214	
EIF4H	1	ENSG00000106682	
SLC9A2	1	ENSG00000115616	
NCOA2	1	ENSG00000140396	
ZNF439	1	ENSG00000171291	
ANAPC7	1	ENSG00000196510	
ZNF418	1	ENSG00000196724	
RPS4XP2	1	ENSG00000226948	
PLA2G4F	1	ENSG00000168907	
SSB	1	ENSG00000138385	
PTK2	1	ENSG00000169398	
MGRN1	1	ENSG00000102858	
EBNA1BP2	1	ENSG00000117395	
METTL2A	1	ENSG00000087995	
FGD1	1	ENSG00000102302	
CDK11A	1	ENSG00000008128	
DHRS3	1	ENSG00000162496	
PHKB	1	ENSG00000102893	
SKIL	1	ENSG00000136603	
CNDP2	1	ENSG00000133313	
SIRT3	1	ENSG00000142082	
ZNF385A	1	ENSG00000161642	
SFT2D2	1	ENSG00000213064	
TM9SF4	1	ENSG00000101337	
PDCD6P1	1	ENSG00000188002	
NUP43	1	ENSG00000120253	
RACK1	1	ENSG00000204628	
PPM1K	1	ENSG00000163644	
SLC38A6	1	ENSG00000139974	
NDUFB7	1	ENSG00000099795	
DAZAP2	1	ENSG00000183283	
IWS1	1	ENSG00000163166	
TSSC4	1	ENSG00000184281	
EIF4E2	1	ENSG00000135930	
MAP3K3	1	ENSG00000198909	
TRIM13	1	ENSG00000204977	
ZBTB14	1	ENSG00000198081	
CIRBP	1	ENSG00000099622	
RITA1	1	ENSG00000139405	
USP45	1	ENSG00000123552	
APEX2	1	ENSG00000169188	
DSP	1	ENSG00000096696	
NUFIP1	1	ENSG00000083635	
AGL	1	ENSG00000162688	
SSBP3	1	ENSG00000157216	
ARL17A	1	ENSG00000185829	
CLYBL	1	ENSG00000125246	
SNRK	1	ENSG00000163788	
ASAH2B	1	ENSG00000204147	
RPF1	1	ENSG00000117133	
ZFP69	1	ENSG00000187815	
DNAAF9	1	ENSG00000088854	
OXNAD1	1	ENSG00000154814	
RPUSD3	1	ENSG00000156990	
VAMP1	1	ENSG00000139190	
RINT1	1	ENSG00000135249	
AKIP1	1	ENSG00000166452	
MRPL3	1	ENSG00000114686	
SHKBP1	1	ENSG00000160410	
SUZ12	1	ENSG00000178691	
